species_id	20091FL-01-01-13	20091FL-01-01-13	20091FL-01-01-14	20091FL-01-01-14	20091FL-01-01-15	20091FL-01-01-15	20091FL-01-01-17	20091FL-01-01-17	20091FL-01-01-18	20091FL-01-01-18	20091FL-01-01-19	20091FL-01-01-19	20091FL-01-01-20	20091FL-01-01-20	20091FL-01-01-21	20091FL-01-01-21	20091FL-01-01-22	20091FL-01-01-22	20091FL-01-01-23	20091FL-01-01-23	20091FL-01-01-24	20091FL-01-01-24
110884	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
129701	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101347	0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.200	0.000	0.000	0.200	0.200	0.667	0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133
100224	0.000	0.000	0.000	0.000	0.000	0.000	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
147595	0.000	0.000	0.000	0.000	0.000	0.000	0.267	0.267	0.000	0.000	0.133	0.133	0.200	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
128622	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.154	0.000	0.000	0.308	0.308	0.154	0.154	0.000	0.000	0.154	0.154	0.000	0.000	0.000	0.000
101745	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112342	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
123672	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100556	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112600	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108600	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100520	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.143	0.500	0.500	0.643	0.643	0.286	0.286	0.214	0.214	0.214	0.214	0.571	0.571
102755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.455	0.727	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
115971	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.143	0.000	0.000	0.143	0.143	0.000	0.000	0.000	0.000	0.000	0.000
144272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
137434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
100122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
108980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
101890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
106607	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133
100129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.143	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
112969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.154	0.154	0.154	0.000	0.000	0.000	0.000	0.000	0.000
116464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.000	0.000	0.000	0.000	0.000	0.000
